created,custom,delete,external,id,modified,module,name,package,parent_urn,pending,project,protected,provider_urn,stack,type,urn,teams,properties,category,account,managed
,true,false,true,f17ad01b-a5c2-427e-80a4-1bdd2ecfdc90,,kms,f17ad01b-a5c2-427e-80a4-1bdd2ecfdc90,aws,,,sentify_demo,false,,ap-southeast-2,aws:kms/key:Key,urn:insights:sentify_demo/ap-southeast-2::aws::aws:kms/key:Key::f17ad01b-a5c2-427e-80a4-1bdd2ecfdc90,,,security,sentify_demo/ap-southeast-2,Other
,true,false,true,subnet-0afa7231a60c62059,,ec2,subnet-0afa7231a60c62059,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/subnet:Subnet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/subnet:Subnet::subnet-0afa7231a60c62059,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:lambda:ap-southeast-2:155742740775:function:demo-api-handler/9dd80c02-b5bb-56d3-af2a-0abff257d24d,,lambda,9dd80c02-b5bb-56d3-af2a-0abff257d24d,aws,,,sentify_demo,false,,ap-southeast-2,aws:lambda/permission:Permission,urn:insights:sentify_demo/ap-southeast-2::aws::aws:lambda/permission:Permission::arn:aws:lambda:ap-southeast-2:155742740775:function:demo-api-handler/9dd80c02-b5bb-56d3-af2a-0abff257d24d,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,subnet-0be0563114cd6183b,,ec2,subnet-0be0563114cd6183b,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/subnet:Subnet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/subnet:Subnet::subnet-0be0563114cd6183b,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,subnet-0173dd15c2c83695e,,ec2,subnet-0173dd15c2c83695e,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/subnet:Subnet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/subnet:Subnet::subnet-0173dd15c2c83695e,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/bsnfmfo,,apigatewayv2,bsnfmfo,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/route:Route::1zad76qte6/bsnfmfo,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,subnet-1a24cd52,,ec2,subnet-1a24cd52,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/subnet:Subnet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/subnet:Subnet::subnet-1a24cd52,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,vpc-a3baaec4,,ec2,dopt-8193a5e6-vpc-a3baaec4,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/vpcDhcpOptionsAssociation:VpcDhcpOptionsAssociation,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/vpcDhcpOptionsAssociation:VpcDhcpOptionsAssociation::vpc-a3baaec4,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,fe9c5b28-4714-4848-8dc5-7d018c8bc5d4,,ssm,AWS-GatherSoftwareInventory,aws,,,sentify_demo,false,,ap-southeast-2,aws:ssm/association:Association,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ssm/association:Association::fe9c5b28-4714-4848-8dc5-7d018c8bc5d4,,,management,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:xray:ap-southeast-2:155742740775:group/Default,,xray,Default,aws,,,sentify_demo,false,,ap-southeast-2,aws:xray/group:Group,urn:insights:sentify_demo/ap-southeast-2::aws::aws:xray/group:Group::arn:aws:xray:ap-southeast-2:155742740775:group/Default,,,build,sentify_demo/ap-southeast-2,Other
